0400.528.935	-
0400.529.232	-
0400.529.529	-
0400.529.628	999 - Unspecified activity
0400.530.222	-
0400.530.321	-
0400.530.618	-
0400.531.212	46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods
0400.531.410	-
0400.531.608	-
0400.531.707	-
0400.531.806	82 - Office administrative, office support and other business support activities
0400.532.202	-
0400.532.794	-
0400.533.784	-
0400.534.081	-
0400.534.180	-
0400.534.873	-
0400.535.071	-
0400.535.467	-
0400.535.665	-
0400.536.358	-
0400.536.655	-
0400.537.249	-
0400.537.744	-
0400.538.536	-
0400.538.635	-
0400.539.031	-
0400.539.526	-
0400.539.625	-
0400.539.922	-
0400.540.219	-
0400.540.813	-
0400.541.110	-
0400.541.506	-
0400.542.296	-
0400.542.395	-
0400.543.583	-
0400.544.177	-
0400.544.276	-
0400.544.375	46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods
0400.544.573	-
0400.545.068	464 - Wholesale of household goods
0400.545.167	-
0400.545.266	-
0400.546.058	-
0400.546.157	-
0400.546.751	-
0400.547.246	999 - Unspecified activity
0400.547.543	-
0400.547.642	-
0400.548.137	-
0400.548.533	-
0400.548.731	-
0400.549.028	-
0400.549.127	-
0400.549.325	-
0400.549.523	47512 - Specialist retail trade in household textiles and bedding
0400.549.721	-
0400.549.820	-
0400.550.414	-
0400.550.513	-
0400.551.107	-
0400.551.404	46423 - Wholesale trade in clothing other than work clothes and underwear
0400.551.602	-
0400.551.996	-
0400.552.194	-
0400.552.293	-
0400.553.184	-
0400.553.481	-
0400.554.075	-
0400.555.164	-
0400.555.956	477 - Retail sale of other goods in specialised stores
0400.556.154	-
0400.556.451	-
0400.556.649	-
0400.556.847	-
0400.557.342	-
0400.557.837	-
0400.557.936	-
0400.558.134	-
0400.558.332	-
0400.559.520	-
0400.559.619	-
0400.560.213	-
0400.561.203	-
0400.561.795	-
0400.561.894	-
0400.562.290	-
0400.562.488	999 - Unspecified activity
0400.563.280	-
0400.564.666	-
0400.564.765	-
0400.565.161	-
0400.565.359	-
0400.565.854	-
0400.566.151	999 - Unspecified activity
0400.566.844	999 - Unspecified activity
0400.567.042	-
0400.567.339	999 - Unspecified activity
0400.567.537	-
0400.567.636	-
0400.568.725	-
0400.568.824	-
0400.568.923	-
0400.570.111	-
0400.570.309	-
0400.570.606	-
0400.570.903	-
0400.571.495	-
0400.573.376	-
0400.573.475	-
0400.573.772	-
0400.574.366	-
0400.575.059	-
0400.575.158	-
0400.575.950	464 - Wholesale of household goods
0400.576.445	-
0400.576.544	-
0400.577.237	-
0400.577.831	-
0400.578.029	-
0400.578.821	-
0400.579.415	-
0400.580.405	-
0400.580.702	-
0400.580.801	-
0400.581.492	-
0400.581.888	-
0400.582.185	46412 - Wholesale trade in household textiles and bedding
0400.583.076	-
0400.583.175	-
0400.583.373	-
0400.583.571	-
0400.584.066	-
0400.584.165	-
0400.584.858	-
0400.586.244	-
0400.586.541	-
0400.588.125	-
0400.588.323	-
0400.588.620	68 - Real estate activities
0400.588.719	-
0400.588.818	464 - Wholesale of household goods
0400.589.412	-
0400.589.511	464 - Wholesale of household goods
0400.589.610	-
0400.591.588	-
0400.591.687	999 - Unspecified activity
0400.592.281	-
0400.592.875	-
0400.593.964	-
0400.595.647	-
0400.596.241	46412 - Wholesale trade in household textiles and bedding
0400.597.528	-
0400.598.122	999 - Unspecified activity
0400.598.221	-
0400.598.716	-
0400.600.201	-
0400.600.694	-
0400.600.793	-
0400.601.387	-
0400.602.278	-
0400.602.575	-
0400.602.872	-
